DateTime,State,Fuel Type,Supply
23/06/2021 00:00,NSW,Wind,21432.973
23/06/2021 00:00,QLD,Battery,0
23/06/2021 00:00,QLD,Biomass,1510.958
23/06/2021 00:00,QLD,Black coal,128949.42
23/06/2021 00:00,QLD,Gas,11976.33
23/06/2021 00:00,QLD,Hydro,2372.984
23/06/2021 00:00,QLD,Liquid Fuel,168.382
23/06/2021 00:00,QLD,Solar,6834.429
23/06/2021 00:00,QLD,Wind,8071.236
23/06/2021 00:00,SA,Battery,199.615
23/06/2021 00:00,SA,Gas,11194.481
23/06/2021 00:00,SA,Liquid Fuel,48.417
23/06/2021 00:00,SA,Solar,766.402
23/06/2021 00:00,SA,Wind,30935.143
23/06/2021 00:00,TAS,Gas,0
23/06/2021 00:00,TAS,Hydro,20303.639
23/06/2021 00:00,TAS,Wind,5167.311
23/06/2021 00:00,VIC,Battery,49.637
23/06/2021 00:00,VIC,Brown coal,83725.924
23/06/2021 00:00,VIC,Gas,7571.642
23/06/2021 00:00,VIC,Hydro,12477.791
23/06/2021 00:00,VIC,Solar,568.943
23/06/2021 00:00,VIC,Wind,46438.184
24/06/2021 00:00,NSW,Black coal,165478.542
24/06/2021 00:00,NSW,Gas,1953.491
24/06/2021 00:00,NSW,Hydro,6416.815
24/06/2021 00:00,NSW,Liquid Fuel,0
24/06/2021 00:00,NSW,Solar,3815.535
24/06/2021 00:00,NSW,Wind,33151.972
24/06/2021 00:00,QLD,Battery,0
24/06/2021 00:00,QLD,Biomass,1436.367
24/06/2021 00:00,QLD,Black coal,129516.038
24/06/2021 00:00,QLD,Gas,14245.413
24/06/2021 00:00,QLD,Hydro,2601.829
24/06/2021 00:00,QLD,Liquid Fuel,0
24/06/2021 00:00,QLD,Solar,4454.506
24/06/2021 00:00,QLD,Wind,6043.943
24/06/2021 00:00,SA,Battery,279.408
24/06/2021 00:00,SA,Gas,15015.487
24/06/2021 00:00,SA,Liquid Fuel,51.762
24/06/2021 00:00,SA,Solar,816.503
24/06/2021 00:00,SA,Wind,27942.707
24/06/2021 00:00,TAS,Gas,328.433
24/06/2021 00:00,TAS,Hydro,23870.935
24/06/2021 00:00,TAS,Wind,2027.871
24/06/2021 00:00,VIC,Battery,100.059
24/06/2021 00:00,VIC,Brown coal,78213.051
24/06/2021 00:00,VIC,Gas,7170.589
24/06/2021 00:00,VIC,Hydro,14691.06
24/06/2021 00:00,VIC,Solar,2378.932
24/06/2021 00:00,VIC,Wind,29697.063
25/06/2021 00:00,NSW,Black coal,161787.122
25/06/2021 00:00,NSW,Gas,3900.441
25/06/2021 00:00,NSW,Hydro,10780.278
25/06/2021 00:00,NSW,Liquid Fuel,0
25/06/2021 00:00,NSW,Solar,4596.397
25/06/2021 00:00,NSW,Wind,20480.558
25/06/2021 00:00,QLD,Battery,0
25/06/2021 00:00,QLD,Biomass,1313.4
25/06/2021 00:00,QLD,Black coal,130729.753
25/06/2021 00:00,QLD,Gas,18206.939
25/06/2021 00:00,QLD,Hydro,3206.562
25/06/2021 00:00,QLD,Liquid Fuel,249.333
25/06/2021 00:00,QLD,Solar,3575.149
25/06/2021 00:00,QLD,Wind,5335.07
25/06/2021 00:00,SA,Battery,308.26
25/06/2021 00:00,SA,Gas,20903.051
25/06/2021 00:00,SA,Liquid Fuel,28.633
25/06/2021 00:00,SA,Solar,1158.981
25/06/2021 00:00,SA,Wind,26033.719
25/06/2021 00:00,TAS,Gas,820.937
25/06/2021 00:00,TAS,Hydro,33221.544
25/06/2021 00:00,TAS,Wind,621.013
25/06/2021 00:00,VIC,Battery,50.493
25/06/2021 00:00,VIC,Brown coal,86983.72
25/06/2021 00:00,VIC,Gas,13562.665
25/06/2021 00:00,VIC,Hydro,14672.746
25/06/2021 00:00,VIC,Solar,1697.593
25/06/2021 00:00,VIC,Wind,9554.898
26/06/2021 00:00,NSW,Black coal,155630.523
